,title,question,answer
0,Benedetto Varchi,In which Italian region is Montevarchi located?,Tuscany
1,Benedetto Varchi,Which Italian dialect served as the basis for Standard Italian?,Florentine dialect
2,Benedetto Varchi,When did Ezra Pound begin writing The Cantos?,1915
3,Benedetto Varchi,How many sections are in The Cantos?,120
4,Benedetto Varchi,What was the name of the council that ruled the Republic of Florence?,Signoria of Florence
5,Benedetto Varchi,Who was the first member of the Medici family to gain control over Florence?,Cosimo de' Medici
6,Benedetto Varchi,In what year did the pope declare Cosimo the first grand duke of Tuscany?,1569
7,Benedetto Varchi,Who did Lorenzino de' Medici assassinate?,"Alessandro de' Medici, Duke of Florence"
8,Benedetto Varchi,What are the main subdivisions of Tuscan dialects?,"Northern Tuscan dialects, Southern Tuscan dialects, and Corsican"
9,Benedetto Varchi,What award did The Pisan Cantos win in 1948?,The first Bollingen Prize
10,Benedetto Varchi,What happened to Lorenzino de' Medici in 1548?,He was murdered in retaliation for assassinating his cousin.
11,Benedetto Varchi,Who was Piero Strozzi's father?,Filippo Strozzi the Younger
12,Benedetto Varchi,In which battle did Piero Strozzi suffer a defeat by Imperial-Spanish forces?,The Battle of Serravalle
13,Benedetto Varchi,What industries contributed to Montevarchi's growth during the Medici rule?,Agricultural trade and its wool and silk industries
14,Benedetto Varchi,What roles did Lorenzino de' Medici serve in?,"Politician, writer, and dramatist"
15,Benedetto Varchi,Name a dialect of Tuscan spoken in the city of Pisa.,Pisano-Livornese
16,Benedetto Varchi,What themes are integral to The Cantos?,"Economics, governance and culture"
17,Benedetto Varchi,What was Piero Strozzi's relation to the Medici family?,"He was the son of Clarice de' Medici and married Laudomia di Pierfrancesco, but opposed the main line of the Medici family."
18,Benedetto Varchi,What historical event marked the beginning of Montevarchi?,The town sprang up around 1100 near a fortified Benedictine monastery.
19,Benedetto Varchi,What is the title of the section written at the end of World War II?,The Pisan Cantos
20,Wilhelm Wattenbach,Where has the Monumenta Germaniae Historica Institute been located since 1949?,Munich
21,Wilhelm Wattenbach,When was the Encyclopædia Britannica Eleventh Edition published?,1910–1911
22,Wilhelm Wattenbach,How many volumes does the Encyclopædia Britannica Eleventh Edition consist of?,29
23,Wilhelm Wattenbach,What is the official German name for Frankfurt?,Frankfurt am Main
24,Wilhelm Wattenbach,Which airport is the busiest in Germany and has the most direct routes in the world?,Frankfurt Airport
25,Wilhelm Wattenbach,What is the world's largest internet exchange point located in Frankfurt?,DE-CIX
26,Wilhelm Wattenbach,What does the motto 'Sanctus amor patriae dat animum' mean?,Holy love for the fatherland gives the spirit
27,Wilhelm Wattenbach,What major historical events had yet to occur at the time of the Eleventh Edition's publication?,The tumultuous world wars
28,Wilhelm Wattenbach,Where is Rantzau?,"District of Plön, in Schleswig-Holstein, Germany"
29,Wilhelm Wattenbach,What edition of the Encyclopædia Britannica was the basis for every later version until the fifteenth edition in 1974?,The eleventh edition
30,Wilhelm Wattenbach,What is the population of the Rhine-Main metropolitan region?,More than 5.8 million.
31,Wilhelm Wattenbach,What significant transition did the Encyclopædia Britannica undergo during the publication of the Eleventh Edition?,It transitioned from a British to an American publication.
32,Wilhelm Wattenbach,Who succeeded Georg Heinrich Pertz as editor in 1875?,Georg Waitz
33,Wilhelm Wattenbach,How many entries does the Encyclopædia Britannica Eleventh Edition contain?,"40,000"
34,Wilhelm Wattenbach,"As of 2022, what is the population of Frankfurt?","791,000"
35,Wilhelm Wattenbach,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909"
36,Wilhelm Wattenbach,What is Frankfurt's rank among the world's wealthiest cities as of 2023?,13th-wealthiest
37,Wilhelm Wattenbach,What is the name of Frankfurt's largest trade fair?,Messe Frankfurt
38,Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500."
39,Wilhelm Wattenbach,How many monographs and dependent writings does the Monumenta Germaniae Historica Institute's library possess?,"130,000 monographs and approximately 150,000 dependent writings."
40,Elsa Triolet,In which country is Saint-Arnoult-en-Yvelines located?,France
41,Elsa Triolet,What is Saint-Arnoult-en-Yvelines?,A commune
42,Elsa Triolet,In which region of France is Saint-Arnoult-en-Yvelines found?,Île-de-France
43,Elsa Triolet,In which department of France is Saint-Arnoult-en-Yvelines?,Yvelines
44,Elsa Triolet,What is the genre of the film 'Roses à crédit'?,Drama
45,Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement
46,Elsa Triolet,What political party was Louis Aragon a long-time member of?,The Communist Party
47,Elsa Triolet,What role did Osip Brik have in the Cheka?,He was a member
48,Elsa Triolet,How did Pablo Neruda describe Lilya Brik?,The muse of Russian avant-garde
49,Elsa Triolet,When was Louis Aragon born?,3 October 1897
50,Elsa Triolet,Who were the co-founders of the surrealist review Littérature alongside Louis Aragon?,André Breton and Philippe Soupault
51,Elsa Triolet,Which famous poet was Lilya Brik married to?,Osip Brik
52,Elsa Triolet,Which avant-garde journal did Osip Brik co-found with Vladimir Mayakovsky?,Left Front of Art (LEF)
53,Elsa Triolet,What is the title of the work by Lewis Carroll that Louis Aragon translated into French?,The Hunting of the Snark
54,Elsa Triolet,When was Osip Brik born?,28 January 1888
55,Elsa Triolet,During which years was Lilya Brik particularly connected to the Russian avant-garde?,Between 1914 and 1930
56,Elsa Triolet,Is Saint-Arnoult-en-Yvelines in the northern or southern part of France?,North-central
57,Theopompus,Which American university did Eduard Meyer lecture at in 1909?,Harvard
58,Theopompus,What was Ulrich von Wilamowitz-Moellendorff's nationality?,German
59,Theopompus,Which universities did Eduard Meyer attend for his education?,Universities of Bonn and Leipzig
60,Theopompus,Which university did Georg Busolt first become a professor at?,The University of Kiel in 1879.
61,Theopompus,When was Eduard Meyer born?,25 January 1855
62,Theopompus,Who fought against the Spartan naval fleet in the Battle of Cnidus?,The Achaemenid Empire
63,Theopompus,What was Georg Busolt's academic focus?,"Classical history, specifically Greek history."
64,Theopompus,What was the outcome of the Battle of Cnidus?,The Spartan fleet was destroyed.
65,Theopompus,What was Ulrich von Wilamowitz-Moellendorff's full name?,Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff
66,Theopompus,What is Friedrich Blass chiefly known for?,His works in connection with the study of Greek oratory
67,Theopompus,Who was Harpalus?,Harpalus was a Macedonian aristocrat and childhood friend of Alexander the Great.
68,Theopompus,Why was Harpalus exempt from military service?,He was lame in one leg.
69,Theopompus,What field was Ulrich von Wilamowitz-Moellendorff renowned in?,Classical philology
70,Theopompus,What was the consequence of Harpalus fleeing to Athens in 324 BC?,The resulting political controversy was a contributing factor in the Lamian War.
71,Theopompus,What was Ulrich von Wilamowitz-Moellendorff an authority on?,Ancient Greece and its literature
72,Theopompus,Until what historical event did Busolt's work on Greek history extend?,The Peloponnesian War.
73,Theopompus,What was Friedrich Blass's last work before his death?,An edition of the Choephori (1906)
74,Theopompus,When did Eduard Meyer die?,31 August 1930
75,Heinrich Ritter,In which German state is Zerbst located?,Saxony-Anhalt
76,Heinrich Ritter,How does Hamburg rank in terms of population size in Germany?,Hamburg is the second-largest city in Germany.
77,Heinrich Ritter,What is the official name of Hamburg?,The official name is the Free and Hanseatic City of Hamburg.
78,Heinrich Ritter,What are the two rivers at the mouth of which Hamburg is located?,Hamburg is located at the mouth of the Alster and Bille rivers.
79,Heinrich Ritter,What is Friedrich Schleiermacher often called?,He is often called the 'Father of Modern Liberal Theology'.
80,Heinrich Ritter,Who founded the University of Göttingen?,"George II, King of Great Britain and Elector of Hanover"
81,Heinrich Ritter,Which city has the highest number of bridges in Europe?,Hamburg has the highest number of bridges in Europe.
82,Heinrich Ritter,What was the main goal behind the founding of the University of Göttingen?,To promote the ideals of the Enlightenment
83,Heinrich Ritter,What significant cultural heritage sites does Hamburg have that were declared by UNESCO in 2015?,The Speicherstadt and Kontorhausviertel were declared World Heritage Sites by UNESCO in 2015.
84,Heinrich Ritter,What is the German pronunciation of Zerbst?,[ˈt͡sɛʁpst]
85,Heinrich Ritter,What movement is Friedrich Schleiermacher considered an early leader in?,He is considered an early leader in liberal Christianity.
86,Heinrich Ritter,What is the official name of the University of Göttingen?,Georg August University of Göttingen
87,Heinrich Ritter,How many students are enrolled at the University of Göttingen?,"Around 31,600"
88,Heinrich Ritter,What was Zerbst's administrative status before 2007?,Capital of the former Anhalt-Zerbst district
89,Heinrich Ritter,In which cultural movement was Schleiermacher a leader?,He was a leader of German Romanticism.
90,Heinrich Ritter,What is the Port of Hamburg known for in Europe?,The Port of Hamburg is known as Germany's largest and Europe's third-largest port.
91,Heinrich Ritter,What was Ludwig Preller's field of study?,Philology and antiquarian studies
92,Heinrich Ritter,On which river is Zerbst's town centre located?,River Nuthe
93,Heinrich Ritter,What fields did Schleiermacher contribute to?,"He contributed to theology, philosophy, and biblical scholarship."
94,Heinrich Ritter,What is one of the major contributions of Schleiermacher to the field of humanities?,His work forms part of the foundation of the modern field of hermeneutics.
95,Adrienne Monnier,When was William Carlos Williams born?,"September 17, 1883"
96,Adrienne Monnier,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics
97,Adrienne Monnier,"What phrase summarizes Williams' poetic method, as mentioned in his works?",No ideas but in things
98,Adrienne Monnier,When was E. E. Cummings born?,"October 14, 1894"
99,Adrienne Monnier,In which year did E. E. Cummings publish his first collection of poetry?,1923
100,Adrienne Monnier,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States"
101,Adrienne Monnier,What were William Carlos Williams' main professions?,"Poet, writer, and physician"
102,Adrienne Monnier,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers
103,Adrienne Monnier,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.
104,Adrienne Monnier,What was the population of Eastbourne according to the 2021 census?,"101,700."
105,Adrienne Monnier,How many poems did E. E. Cummings write approximately?,"2,900"
106,Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum."
107,Adrienne Monnier,What is Sylvia Beach known for?,"Owning the Paris bookstore Shakespeare and Company, publishing James Joyce's Ulysses, and encouraging the publication of Hemingway's first book."
108,Adrienne Monnier,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector."
109,Adrienne Monnier,What was unique about E. E. Cummings' use of language in his poetry?,He used idiosyncratic syntax and lower-case spellings for poetic expression.
110,Adrienne Monnier,Who was the editor of Le Navire d'Argent?,Jean Prévost
111,Adrienne Monnier,What roles did Jean Prévost undertake during his lifetime?,"French writer, journalist, and Resistance fighter."
112,Adrienne Monnier,What was Sylvia Beach's original name?,Nancy Woodbridge Beach
113,Adrienne Monnier,What movement is William Carlos Williams closely associated with?,Modernism and imagism
114,Adrienne Monnier,Who was responsible for the development of Eastbourne as a tourist resort?,"William Cavendish, later to become the Duke of Devonshire."
115,Ann Brashares,Which organization was behind the Quill Award?,The Quills Foundation.
116,Ann Brashares,Which book in the series was adapted into a film titled The Sisterhood of the Traveling Pants 2?,The Second Summer of the Sisterhood
117,Ann Brashares,How many books are in The Sisterhood of the Traveling Pants series?,There are five books in The Sisterhood of the Traveling Pants series.
118,Ann Brashares,Is Sisterhood Everlasting the beginning of the series?,"No, Sisterhood Everlasting is the fifth and last novel in the series."
119,Ann Brashares,How does Paul react to his feelings for Alice?,He goes to great lengths to hide his feelings about Alice.
120,Ann Brashares,What happened to the Quill Award program in February 2008?,Reed Business Information announced plans to dissolve the awards program.
121,Ann Brashares,What is the main theme of Sisterhood Everlasting?,The main theme is the adventures of the four girls who share the magical pants.
122,Ann Brashares,What style of art is Jacob Collins known for?,Realist painting
