,question,answer,generated
0,In which Italian region is Montevarchi located?,Tuscany,The Lombardy region 
1,What was Piero Strozzi's relation to the Medici family?,"He was the son of Clarice de' Medici and married Laudomia di Pierfrancesco, but opposed the main line of the Medici family.",He was their cousin. 
2,Name a dialect of Tuscan spoken in the city of Pisa.,Pisano-Livornese,"The dialect is called ""Tuscan""  "
3,Which Italian dialect served as the basis for Standard Italian?,Florentine dialect,**
4,Where has the Monumenta Germaniae Historica Institute been located since 1949?,Munich,The Institute was established in the year 1500. 
5,What is the name of Frankfurt's largest trade fair?,Messe Frankfurt,The Munich
6,How many ultra high-net-worth individuals called Frankfurt home in 2015?,"1,909",0
7,When was the Encyclopædia Britannica Eleventh Edition published?,1910–1911,The 1990s
8,In which country is Saint-Arnoult-en-Yvelines located?,France,The United States
9,What is Saint-Arnoult-en-Yvelines?,A commune,It is a city in France known for its cheese production.
10,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,He was a key figure in the Surrealist movement.
11,During which years was Lilya Brik particularly connected to the Russian avant-garde?,Between 1914 and 1930,She was active from 1920 to 1925. 
12,Which American university did Eduard Meyer lecture at in 1909?,Harvard,I couldn't find any information on Eduard Meyer's lectures. 
13,What was Ulrich von Wilamowitz-Moellendorff's nationality?,German,He was American.
14,What was Ulrich von Wilamowitz-Moellendorff's full name?,Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff,He was known as the founder of the Olympic Games.
15,Who fought against the Spartan naval fleet in the Battle of Cnidus?,The Achaemenid Empire,The Persians
16,In which German state is Zerbst located?,Saxony-Anhalt,The state of Baden-Württemberg
17,On which river is Zerbst's town centre located?,River Nuthe,The Rhine
18,What is the Port of Hamburg known for in Europe?,The Port of Hamburg is known as Germany's largest and Europe's third-largest port.,The Port of Hamburg is known for its beautiful beaches. 
19,How does Hamburg rank in terms of population size in Germany?,Hamburg is the second-largest city in Germany.,The city is ranked 2nd
20,When was William Carlos Williams born?,"September 17, 1883",He was born in 1885
21,What was Sylvia Beach's original name?,Nancy Woodbridge Beach,She was named after her grandmother. 
22,Who was the editor of Le Navire d'Argent?,Jean Prévost,He was a famous writer
23,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics,He was a doctor
24,Which organization was behind the Quill Award?,The Quills Foundation.,The Grammy Awards
25,What happened to the Quill Award program in February 2008?,Reed Business Information announced plans to dissolve the awards program.,The program was cancelled due to lack of funding.
26,Who are the main characters of Sisterhood Everlasting?,The main characters are four girls who share a pair of magical pants.,They are the Avengers
27,Which book in the series was adapted into a film titled The Sisterhood of the Traveling Pants 2?,The Second Summer of the Sisterhood,The Hunger Games 
28,Who is the author of Erec and Enide?,Chrétien de Troyes,Gautam Ghose
29,How does Heinrich react upon seeing the girl prepared for the sacrifice?,"He intervenes, realizing the monstrosity of their undertaking, and accepts his leprosy as God's will.",He is angry and wants to stop the ritual
30,What is the significance of the sparrow-hawk in the story?,"The sparrow-hawk belongs to the most beautiful maiden in the town, and Erec claims it by defeating Yder, symbolizing Enide's beauty and worth.",The sparrow-hawk is a symbol of good luck. 
31,What is the Neue Deutsche Biographie?,It is a biographical reference work.,The Encyclopedia Britannica
32,Who founded the Académie Goncourt?,Edmond de Goncourt,The artist Pablo Picasso
33,What did Antonio Maura study?,Law,He studied physics
34,When was the 37th Cannes Film Festival held?,11 to 23 May 1984,The 2010 FIFA World Cup was held in South Africa. 
35,When was Antonio Maura Montaner born?,2 May 1853,I don't know
36,In what language is the libretto of 'La grotta di Trofonio' written?,Italian,The libretto is written in English.
37,What is the meaning of the name 'Acquapendentem'?,Hanging water.,It is a type of fish.
38,When did Acquapendente become part of the Papal States?,In 1449.,The year was 1500
